event id,width,length,miss,dis,azwidth
510177919,1.2332579353785185,4.823567471775993,1.1046645401329,1.4928305000305966,11.359408010666606
510177985,0.9662344112955046,7.9253236982615665,0.03755904988944793,2.3770285458719984,62.795307108496765
510427863,0.8829357372348762,2.6344321862039424,0.21961417837976466,0.8321678439730796,6.511165118005474
510427937,1.2154716096965057,2.597865424209256,1.0610194279360663,2.9495936648908847,6.066787178115039
510428031,1.3790480441389705,15.649634754025538,0.40299280257038234,9.383192840918303,244.4628251357623
510428051,1.4070507691414298,8.962918932756018,0.4494805179207324,4.825665719143781,79.65413461708204
510428067,0.6070503931835757,7.717850459058789,0.5522013066771175,5.988015297742639,59.061799202750045
510428117,1.2210112117377512,12.571162638079088,0.02942101394800317,6.842561747595953,158.0312333336639
510428179,1.411841975032833,3.353947970218551,1.4876756459051725,2.776093142844406,8.590958600332076
510434883,0.5149183536698804,8.19886507697366,0.41611656487960347,6.34846240990181,66.93372698208834
510436314,1.6988116402836178,8.229645202997798,0.6984293990648377,5.018198747869221,66.4710318827354
510436363,3.08944930325181,7.7580369921128485,2.9067236153049136,5.5839463073313755,46.4644360448298
510436393,1.2925695849806893,6.921726305913923,1.1569450340635652,7.548401896844698,46.82404959051501
510436474,6.107520253741218,497.88138507987065,8.26198632126495,110.69447847071558,246505.1604152044
510437884,1.0405882671963245,2.857421897672854,0.34942888806728745,0.720313062231192,6.498253063366056
510438093,1.5449556919684058,291.4858775926713,0.7599741260501398,43.72033391413179,84938.34509491228
510438235,1.941400936819327,7.868811664661641,2.6043184609406262,2.8967524653722028,14.917007205159537
510438707,1.6179300724734302,3.767977754574271,1.2753253334817716,2.5782376725895366,11.36428783857202
510439481,1.4183858939081269,5.484009295869078,0.273278347670531,2.2585320204664,29.663506944109184
510439523,2.0623143814740086,3.616244482594451,2.782059740852562,5.6659840288984515,10.94981633760275
510439610,1.3874573782360617,3.0491621645650353,1.4395009268421157,1.670457527060908,3.822705724594648
510440559,2.3153795509978816,17.285555255471227,0.6588644511609056,0.8417272264710126,119.00557399980293
510440800,275.36223953551456,314.29542672367285,20.89780597514998,65.3237496943005,96432.09524319455
510444334,2.862754681160571,4.2342139319653525,2.6924904903209717,2.719007845610277,8.384286103551933
510446631,1.0645690680462787,5.409076733229381,0.28118749990455266,0.9499306553401707,26.793787660387945
510453217,1.3037517143756228,7.317772029048212,1.4433842210719747,1.7062767522088413,16.4463729115561
510454047,2.376202047857705,4.9186930808478255,0.35169546132164625,1.4242347732491076,23.062577398494646
510455140,5.021715350433922,209.07874730658204,5.15376627355615,23.268856956071396,41570.69392189835
510455575,2.445262166904768,13.233952574163292,2.926316239880204,5.771970407913209,131.65772183016887
510461396,3.4122413019131126,90.43094889123304,3.3960616936327774,21.64719890502479,7976.7717680911555
510461981,0.9994019179965059,6.693567755991348,0.5317106736688209,5.928733578355145,44.45151858705476
510462536,2.302260046286067,4.3139823080653565,1.9967018733825181,2.0192946345204965,5.596572304995023
510462911,1.2916999243989087,3.8120446985497543,1.5704813023750859,5.499497943929458,13.48270075928569
510462957,0.9825906058144799,4.284431009804816,0.49559882538657957,1.6328316775725884,16.754214893000874
510463129,1.5591815645044875,4.124528422768177,1.406105943228264,5.633473512639263,16.10336748110458
510463808,1.1576402884641157,2.3532652651522348,0.5427265214654795,0.5427693892994653,1.3407940928732553
510464008,0.4580321619260554,6.31407475562957,0.20905232777168603,8.867652810496546,39.84550295371167
510464111,1.2221407443111183,4.419451313070843,0.45949805598894966,1.101548249813393,16.39287161305291
510465378,1.4516607800427361,4.022782659511856,0.5389191307164641,0.9150620676872672,11.300657143390097
510465814,0.8128925095474656,3.301240945176596,0.09802307488988415,1.9595022279014676,10.87257299477287
510465868,1.8308470610588408,7.035574831529764,0.5397840780935595,4.218733920241281,48.7438343947621
510466384,2.0896230347837763,6.945406960643083,0.027893910661714937,1.4510635942610854,48.222465920896894
510466614,0.9560585911995936,5.571136141573338,0.4970653061081819,4.098853204650123,30.59455417396218
510466986,1.3396139784742775,4.127479148086982,0.4426646604896743,3.5268326257191847,16.795975394096853
510467089,1.754768099039958,57.146226202061115,0.2586014172717371,11.818439886838588,3264.1290799283256
510467224,1.607245397946953,9.193214350830212,1.1397572117747794,2.386237440857899,65.82340917175321
510467468,1.4811681804013979,21.647746746657138,0.5190046494609816,14.130376716009888,467.99568210761663
510467689,1.1292840070613517,3.268914383123862,0.0037745369609781965,2.9005778848141404,10.685784886829762
510468015,3.17068549327929,9.052363345493378,0.18124886860102382,9.494129482396941,81.91908103127516
510468315,1.0670841114184406,3.3655724951678416,0.6843693440600758,2.753355038567133,10.69762442127739
510468395,1.4736665639339832,6.37035209609222,0.629224426564719,6.964701864082339,40.2678816123914
510468490,1.5325870806588624,8.85128990652865,0.3425812122184852,9.023781244160398,78.23580355726516
